time,Cd_obs,Cd_obs_std,RBi_obs,RBi_obs_std,Ce_obs,Ce_obs_std,Ca_obs,Ca_obs_std,Cb_obs,Cb_obs_std,CDT1_obs,CDT1_obs_std,Gem_obs,Gem_obs_std,p21_obs,p21_obs_std,palbociclib,nocodazole
6.283185307,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
6.911503838,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
7.539822369,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
8.168140899,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
8.79645943,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
9.424777961,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
10.05257289,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
10.68089142,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
11.30920995,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
11.93752848,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
12.56637061,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
13.19468915,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
13.82300768,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
14.45132621,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
15.07964474,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
15.70796327,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
16.3357582,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
16.96407673,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
17.59239526,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
18.22071379,0.370773837,0.054238816,0.37345075,0.049086189,0.721024732,0.073259593,0.609748646,0.048952706,0.231235785,0.055597675,0.55106383,0.074814126,0.469227041,0.06618887,0.368283357,0.073942084,1,0
